Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Date_Survey,Name_Survey,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Date_Installation,Name_Install,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures
E.ON,EOH0314,NE3,33.0,Working Full time (>30hrs),Professional,"40,001 - 50,000",2020-07-07T00:00:00.000Z,Owner-Occupied,5.0,AB,5.0,17/07/2020,Pacifica,House,Semi-Detached,Urban,1900 - 1929,D,2.0,2.0,3.0,96.99999999999999,6.0,4.0,11.0,2.5,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,1.0,1.0,No,No,190.83297314782976,373.81893142464105,2.2575884889938336,7.517696145921946,1933.3384434519103,956.3184326158807,0.19659248794851011,40.012110164243495,2.9008511630306018,No,No,No,No,None - Installation not recommended,,9506.191139684786,0.008447787894112935,280.81177038537805,12.003168463801266,2.0433509232132927,,,,,,,,3.012539184943307,,1.000402126589972e-12,,129.03823405504227,7.000894748809515,1.000084518451331,0.2119244635105133,0.0007442344758601394,0.000115639362775255,,,,2.8058484355386604e-11,2.0364529618177585e-08,3.0283786145446356e-07,,,3.0478142796011576e-13,3.7034627808907317e-08,,,3187.5478408757967,1018.5697354722162,1610.2356424816592,7.5426259938406295,6.014967305701183e-14,0.00022192792751411615,0.00959612134465715,4.680363319131686e-10,5.407572126081562e-06,1.8583687106527025e-12,1.0435303831472993,0.00013515754608306452
E.ON,EOH3043,NE6,31.0,Working Full time (>30hrs),Professional,"40,001 - 50,000",2020-07-07T00:00:00.000Z,Owner-Occupied,2.0,AB,3.0,15/07/2020,Pacifica,House,End-Terrace,Urban,before 1900,E,2.0,0.0,2.0,85.5,4.0,2.0,8.0,2.6,Solid_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,1.0,1.0,No,No,900.0,900.0,2.258033491393362,7.719924331642687,1946.6318544280948,957.0649812094634,0.3341647103534342,40.01842040219344,2.9012797125848007,No,No,No,No,None - Installation not recommended,,9506.436543006548,0.017785446112384307,282.0502212731913,12.004601806942373,2.0449419423483777,,,,,,,,3.0174970178632066,,4.575915601295888e-12,,133.2964062690735,7.001377748412779,1.0001569857522554,0.259155984967947,0.0013287030815263279,0.0001823429629439488,,,,1.0621101220742446e-10,5.703306982240974e-08,6.881819558657298e-07,,,1.410992308235881e-12,9.66290727433261e-08,,,3285.78101765288,1020.193285290338,1610.2423168751752,10.207497952667763,3.146614370973244e-13,0.0005039461095611841,0.017609794667805545,1.5092066485422606e-09,1.7490783311702174e-05,8.054883149366532e-12,1.0590939186513424,0.00025590500172256725
E.ON,EOH0582,NE6,40.0,Working Part time,Professional,"40,001 - 50,000",2020-07-07T00:00:00.000Z,Owner-Occupied,10.0,AB,1.0,23/07/2020,Pacifica,House,Mid-Terrace,Suburban,Before 1900,D,2.0,2.0,2.0,109.0,4.0,3.0,4.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,Yes - Ground Loop,Yes,191.15706393739674,374.14216952736024,8.660999999999998,72.65,17351.5,4182.0,616.0,47.0,3.24,Yes,No,Yes,Yes,ASHP,None Required,16740.75,0.00960880650592344,967.9999999999999,14.3,3.8000000000000003,Yes,11/12/2020,Aaron Services,ASHP,,Daikin,EDLQ014CAV3,14.000000000000002,R410A,1.3688071943268598e-12,Water_new,200.0,7.001075467225746,1.0,8.0,3.0,0.0,none,none,No,0.0,0.0,0.0,Yes,No,0.0,0.0,,no,9047.38,1752.34,1610.2361640107115,4163.46,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0001509725416326546
E.ON,EOH2096,NE15,47.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2020-07-07T00:00:00.000Z,Owner-Occupied,2.0,AB,3.0,14/07/2020,Pacifica,House,Semi-Detached,Urban,1950 - 1966,E,2.0,0.0,2.0,92.60000000000001,5.0,3.0,9.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,359.99999999999994,360.0,2.25783386354916,7.68577840551734,1944.0238584405743,956.6824588571035,0.29391861308249645,40.0151253232616,2.901128658019006,No,No,No,No,None - Installation not recommended,,9506.311576290926,0.013007598824572142,281.5795425675018,12.004125870426652,2.0441939088731305,,,,,,,,3.0157811818644404,,2.8070514662692503e-12,,130.90674802660942,7.001248872154974,1.0001261607758352,0.24101575836539268,0.0011038073389499914,0.0001475952158216387,,,,6.514194045292854e-11,3.8534384572130875e-08,4.958847057423554e-07,,,8.062487851824562e-13,7.130949342126769e-08,,,3225.613259011153,1019.6148263024352,1610.239039187555,9.888321534044808,1.7836468792827714e-13,0.00037734069497219024,0.013879863217880484,9.444356408039312e-10,1.1356619913271972e-05,4.7879972556175154e-12,1.0520876622758806,0.00019894258457497926
E.ON,EOH0212,NE4,68.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-07T00:00:00.000Z,Owner-Occupied,14.0,AB,2.0,28/07/2020,E.ON,House,Semi-Detached,Suburban,1930 - 1949,D,3.0,0.0,3.0,109.0,7.0,4.0,13.0,2.5,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,Yes - Ground Loop,No,5333.0,13000.0,2.2575834380382567,7.57445830758661,1936.7107382166432,956.2520775327866,0.2123622079980123,40.011920485121664,2.9008936851518228,No,No,No,No,None - Installation not recommended,,9506.184139339153,0.008555817477258643,280.7747349966527,12.003161585254128,2.043378814960015,,,,,,,,3.013153064297512,,1.0869768626853293e-12,,129.00968194007874,7.000954087197897,1.0000891820491233,0.2066139318048954,0.0007329117761400994,0.0001085367621271871,,,,2.9120830746798276e-11,2.239218233057727e-08,3.0131363359942043e-07,,,3.4301110129336676e-13,3.826033534437556e-08,,,3176.7504451921486,1018.868420958817,1610.2354803248797,7.875350903423969,6.833710707769905e-14,0.00024235338276866968,0.009182422218145803,4.732283453989794e-10,5.884784487508732e-06,1.9809340799648023e-12,1.0435490934178233,0.00013812182578476495
E.ON,EOH3144,NE4,43.0,Working Part time,Professional,"30,001 - 40,000",2020-10-07T00:00:00.000Z,Owner-Occupied,4.0,AB,5.0,15/10/2020,Phoenix,House,Semi-Detached,Urban,1930 - 1949,C,1.0,2.0,3.0,154.0,7.0,5.0,16.0,2.4,Solid_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,1.0,1.0,No,No,191.26175520554534,374.2184575997526,2.2575808332122596,7.581986642442644,1935.8831048913999,956.2242540232401,0.21565790808163002,40.011774683662225,2.900921746450476,No,No,No,No,None - Installation not recommended,,9506.176829681548,0.008439656397570161,280.84846951109125,12.00329278370831,2.043364740506513,,,,,,,,3.0135223624529317,,1.0995863507917703e-12,,127.80115902423859,7.000979004515102,1.000091569909273,0.20316548645496368,0.0007265387830557302,0.00010651922639226541,,,,2.9216636054929523e-11,2.2044057246262128e-08,3.0730339517504035e-07,,,3.3356358040276257e-13,3.93438313039951e-08,,,3179.8144219983274,1019.0970943303685,1610.2354654497096,7.942692121651489,6.746023146564709e-14,0.0002281169920047432,0.009560105354466941,4.842085621348247e-10,5.888523830743786e-06,1.9848788411491736e-12,1.0431540263816714,0.0001354130022264144
E.ON,EOH3136,NE6,34.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-09T00:00:00.000Z,Owner-Occupied,2.0,AB,4.0,15/07/2020,Pacifica,House,Semi-Detached,Urban,1950 - 1966,D,2.0,0.0,1.0,85.9,4.0,3.0,6.999999999999999,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,2.0,Yes - Ground Loop,Yes,390.00000000000006,695.0,2.2578402470800065,7.639490828849375,1940.9312755675055,956.66927764313,0.28113702983828265,40.01492299052188,2.9010868907300753,No,No,No,No,None - Installation not recommended,,9506.31459325753,0.012952685591017143,281.47054876608775,12.003783605305944,2.044255658594775,,,,,,,,3.015539266518317,,2.5447831775854413e-12,,130.36498203873634,7.0012147979286965,1.0001244358372787,0.23338193073868752,0.001042195268382784,0.00014965976879466325,,,,6.39031813576274e-11,3.659262048927303e-08,4.669297766213276e-07,,,7.785183088471204e-13,6.544738084812707e-08,,,3240.818782686535,1019.3911843129293,1610.2385753952317,8.880902425497771,1.6532101750933725e-13,0.0003712114991162707,0.013808647054247558,9.556139213273696e-10,1.0682117223170807e-05,4.531049146994093e-12,1.053113803267479,0.00019697396692208713
E.ON,EOH1639,NE3,35.0,Working Full time (>30hrs),Manager,"50,001+",2020-07-10T00:00:00.000Z,Owner-Occupied,4.0,AB,1.0,24/07/2020,E.ON,House,Semi-Detached,Urban,1900 - 1929,E,2.0,1.0,2.0,115.00000000000001,6.0,3.0,10.000000000000002,2.6,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,Yes - Ground Loop,Yes,650.0,760.0,2.2578519318214165,7.643356079235673,1943.3610647165915,956.7435617160081,0.27842479136088516,40.01623046264285,2.9011271379888055,No,No,No,No,None - Installation not recommended,,9506.331572638874,0.013078898791377469,281.60127747865397,12.004157949835061,2.044347665224923,,,,,,,,3.0163509706035256,,2.7622305484586995e-12,,130.53943067789078,7.001234247421962,1.0001209116999235,0.24805305525660515,0.0010573021863820031,0.0001581229007570073,,,,6.742599534259597e-11,4.08769480486626e-08,5.128426323608437e-07,,,8.607490263080886e-13,6.745925418272236e-08,,,3231.7849818144177,1019.6608322118921,1610.239195686632,9.546786744374549,1.8614222576512907e-13,0.0004003988782505985,0.013993312677484937,9.93199966714542e-10,1.1560084741857324e-05,4.736730539051104e-12,1.0536456475965679,0.00020591564043570543
E.ON,EOH1318,NE6,36.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-10T00:00:00.000Z,Owner-Occupied,4.0,AB,2.0,28/07/2020,E.ON,House,End-Terrace,Suburban,1996 - 2002,C,3.0,0.0,2.0,106.0,5.0,5.0,9.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,153,0.0,0.0,1.0,No,No,193.19591695687268,376.62821301445365,6.181,64.52,12223.0,3734.0,551.0,45.0,3.57,Yes,No,No,Yes,ASHP,,11319.159999999998,0.01195059265984355,444.0,14.37,3.8000000000000003,Yes,02/09/2020,Aaron Services,ASHP,,Daikin,EDLQ07CAV3,7.000000000000001,R410A,2.2945120196210533e-12,Water_new,180.00000000000003,7.001258490912733,1.0,11.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,5648.01,1752.34,1610.2376463566245,1961.96,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0001844074358814396
E.ON,EOH0344,NE15,34.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2020-10-08T00:00:00.000Z,Owner-Occupied,2.9999999999999996,AB,2.0,21/10/2020,Phoenix,House,Semi-Detached,Urban,1930 - 1949,D,2.0,0.0,2.0,96.0,4.0,2.0,8.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,194.92397574038478,380.3144665763248,2.257905206736894,7.796500423923135,1949.0923253523652,956.8671410880488,0.34055317568272586,40.01681900466792,2.9012526320107277,No,No,No,No,None - Installation not recommended,,9506.349422581327,0.014914856364271145,281.9956169929495,12.00471128084464,2.0443338780890916,,,,,,,,3.0179516702191904,,3.897353360177158e-12,,129.7058291733265,7.001401810790412,1.000141778455145,0.2650306932628155,0.0011746605632652063,0.00015887584595475346,,,,8.483819896598632e-11,5.0512117155676606e-08,5.968945515633095e-07,,,1.2269556030897188e-12,8.592760991632531e-08,,,3237.882944190018,1020.2757978945272,1610.2405711345457,11.032247007654515,2.7160405543548427e-13,0.0004492765171426072,0.015615571101079695,1.2273461136302899e-09,1.492924685395636e-05,6.55995006579313e-12,1.0550552057102323,0.0002305373063791194
