Participant_Age,EmployStatus,EmployType,HouseIncome,Tenure,Tenure_Length,Social_Group,HP_Awareness,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Dwelling_Type
63.0,working full time (>30hrs),professional,"25,001 - 30,000",owner-occupied,19.0,c1,1.0,house,detached,urban,1930 - 1949,,2.0,0.0,2.0,200.0,6.0,4.0,13.0,2.7,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,150.0,0.0,2.0,1.0,no,no,2760.0,27600.0,15.91,79.55,31869.0,4254.0,0.0,,,yes with additional measures,no,yes with additional measures,yes,hybrid,none required,12561.0,0.0,1473.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_detached_2.0_2.0_0.0
38.0,working full time (>30hrs),manager,"50,001+",owner-occupied,0.9,ab,1.0,house,semi-detached,urban,1950 - 1966,,2.0,1.0,2.0,101.0,5.0,3.0,12.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,no,no,2312.0,13421.0,7.67,88.1,18587.5,4002.0,181.0,,,yes,no,yes,yes,ashp,none required,13319.15,0.0,993.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_1.0
56.0,working full time (>30hrs),professional,"40,001 - 50,000",owner-occupied,25.0,ab,1.0,house,semi-detached,urban,1950 - 1966,,3.0,0.0,2.0,78.0,5.0,3.0,10.0,2.4,cavity_insulated,solid,pitched,double,yes,gas,gas boiler - standard,fire - gas,water,180.0,0.0,1.0,1.0,no,no,5304.0,16142.0,5.86,84.0,14112.6,4002.0,181.0,,,yes,no,yes,yes,ashp,none required,12394.97,0.0,797.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_3.0_0.0
70.0,retired,pensioner,prefer not to say,owner-occupied,32.0,de,4.0,house,detached,urban,1976 - 1982,,2.0,0.0,2.0,91.0,6.0,4.0,11.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,,water,117.0,0.0,0.0,0.0,no,no,4000.0,10000.0,5.744,64.057,12948.1,3734.0,551.0,45.0,3.57,yes,no,no,no,ashp,,10996.59,,703.0,14.37,3.8,yes,ashp,,daikin,edlq07cav3,7.0,r410a,,water_new,180.0,,1.0,11.0,0.0,0.0,none,none,no,0.0,0.0,0.0,yes,no,0.0,0.0,,no,5648.01,1752.34,,1583.17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,house_detached_2.0_2.0_0.0
47.0,working full time (>30hrs),professional,"50,001+",owner-occupied,8.0,ab,5.0,house,semi-detached,suburban,1930 - 1949,,2.0,2.0,2.0,148.0,4.0,3.0,9.0,2.6,cavity_no_insulation,mix,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,0.0,yes - ground loop,yes,3133.0,16666.0,8.58,75.2,17197.3,4182.0,616.0,,,no,no,yes,no,none - installation not recommended,none required,16141.0,0.0,947.0,14.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_2.0
62.0,working full time (>30hrs),clerical,prefer not to say,owner-occupied,4.0,c2,3.0,house,semi-detached,urban,1930 - 1949,d,2.0,0.0,2.0,92.0,5.0,3.0,10.0,2.45,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1600.0,11000.0,8.258,89.76,19995.0,4002.0,181.0,,,yes,no,no,yes,none - installation not recommended,none required,13134.0,0.0,1043.0,14.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_0.0
32.0,working full time (>30hrs),professional,"50,001+",owner-occupied,2.0,ab,1.0,house,semi-detached,suburban,1930 - 1949,,2.0,1.0,2.0,87.0,5.0,3.0,9.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,fire - gas,,,0.0,1.0,1.0,no,no,3071.0,17714.0,7.511,80.58,16522.0,4002.0,181.0,,,no,no,yes,yes,ht_ashp,none required,16881.99,0.0,892.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_1.0
44.0,working full time (>30hrs),professional,"50,001+",owner-occupied,4.0,ab,5.0,house,semi-detached,urban,1930 - 1949,d,2.0,2.0,2.0,126.0,7.0,5.0,10.0,2.4,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - combi,fire - gas,,,0.0,1.0,1.0,no,no,4177.0,18541.0,10.613,84.23,21265.0,4457.0,0.0,,,yes,no,yes,yes with additional measures,hybrid,loft insulation,12081.59,500.0,996.0,14.3,3.8,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,house_semi-detached_2.0_2.0_2.0
38.0,working full time (>30hrs),professional,"50,001+",owner-occupied,3.0,ab,5.0,house,detached,suburban,1967 - 1975,d,2.0,0.0,2.0,80.0,4.0,3.0,4.0,2.3,cavity_insulated,suspended,pitched,double,yes,gas,gas boiler - standard,electric - direct,water,117.0,0.0,1.0,0.0,yes - ground loop,yes,2762.3,10781.0,7.68,98.96,18580.0,3820.0,0.0,45.0,3.77,yes,no,yes,yes,ashp,none required,11628.15,,1111.0,14.3,3.8,yes,ht_ashp,,vaillant,vwl 55/6 a 230v s2,5.0,r290,,water_new,200.0,,1.0,5.0,0.0,0.0,none,none,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,6523.74,1752.0,,2315.87,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,house_detached_2.0_2.0_0.0
58.0,unemployed,professional,"20,001 - 25,000",owner-occupied,25.0,de,1.0,house,semi-detached,urban,1950 - 1966,,2.0,0.0,2.0,105.0,4.0,3.0,12.0,2.6,cavity_no_insulation,mix,pitched,double,yes,gas,gas boiler - combi,,,,0.0,0.0,1.0,no,no,1891.0,10973.0,10.272,97.83,9508.9,3820.0,0.0,55.0,2.96,no,no,no,yes,hybrid,barrier,10615.82,300.0,944.0,14.3,3.8,yes,hybrid,separate_new boiler,daikin,ehy2komb28aa,4.0,r32,,,,,1.0,12.0,0.0,0.0,none,barrier,no,0.0,0.0,0.0,no,no,0.0,0.0,,no,5739.82,,,3240.82,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,house_semi-detached_2.0_2.0_0.0
