Archetype_Description,Count
"Type: House, Size: Medium (90–130m²), Occupants: Large Household (3+), Efficiency: Low Efficiency, Insulation Level: Low Insulation",102
"Type: House, Size: Small (<90m²), Occupants: Small Household (1–2), Efficiency: Low Efficiency, Insulation Level: Low Insulation",81
"Type: House, Size: Large (>130m²), Occupants: Large Household (3+), Efficiency: Low Efficiency, Insulation Level: Low Insulation",74
"Type: House, Size: Medium (90–130m²), Occupants: Small Household (1–2), Efficiency: Low Efficiency, Insulation Level: Low Insulation",71
"Type: House, Size: Small (<90m²), Occupants: Large Household (3+), Efficiency: Low Efficiency, Insulation Level: Low Insulation",53
"Type: House, Size: Large (>130m²), Occupants: Small Household (1–2), Efficiency: Low Efficiency, Insulation Level: Low Insulation",28
"Type: Flat, Size: Small (<90m²), Occupants: Small Household (1–2), Efficiency: Low Efficiency, Insulation Level: Low Insulation",16
"Type: House, Size: Large (>130m²), Occupants: Large Household (3+), Efficiency: High Efficiency, Insulation Level: Low Insulation",11
"Type: House, Size: Medium (90–130m²), Occupants: Large Household (3+), Efficiency: High Efficiency, Insulation Level: Low Insulation",7
"Type: House, Size: Large (>130m²), Occupants: Small Household (1–2), Efficiency: High Efficiency, Insulation Level: Low Insulation",6
"Type: House, Size: Medium (90–130m²), Occupants: Small Household (1–2), Efficiency: High Efficiency, Insulation Level: Low Insulation",4
"Type: House, Size: Small (<90m²), Occupants: Small Household (1–2), Efficiency: High Efficiency, Insulation Level: Low Insulation",2
"Type: House, Size: Small (<90m²), Occupants: Large Household (3+), Efficiency: High Efficiency, Insulation Level: Low Insulation",2
"Type: Flat, Size: Large (>130m²), Occupants: Small Household (1–2), Efficiency: High Efficiency, Insulation Level: Low Insulation",1
"Type: Flat, Size: Medium (90–130m²), Occupants: Small Household (1–2), Efficiency: Low Efficiency, Insulation Level: Low Insulation",1
"Type: Maisonette, Size: Medium (90–130m²), Occupants: Large Household (3+), Efficiency: Low Efficiency, Insulation Level: Low Insulation",1
"Type: Flat, Size: Medium (90–130m²), Occupants: Large Household (3+), Efficiency: Low Efficiency, Insulation Level: Low Insulation",1
