CO2 (ppm),Humidity (%),Light (lux),Motion,Temperature (Deg_Cel),HP_Unit_Mode,HP_CONS (kW),HP_CONS (Wh),HP_CONS_Electricity_kWh,HP_DEL (kW),HP_DEL (Wh),HP_DEL_Electricity_kWh,HP_Defrost,HP_Room_temp (Deg_Cel),HP_Room_temp_Zone2 (Deg_Cel),HP_Ref_liquid_temp (Deg_Cel),HP_Outdoor_ambient_temp (Deg_Cel),HP_Flow_temp (Deg_Cel),HP_Return_temp (Deg_Cel),HP_Tank_water_temp_lower (Deg_Cel),HP_Flow_temp_Zone1 (Deg_Cel),HP_Return_temp_Zone1 (Deg_Cel),HP_Flow_temp_Zone2 (Deg_Cel),HP_Return_temp_Zone2 (Deg_Cel),HP_Flow_temp_Boiler (Deg_Cel),HP_Return_temp_Boiler (Deg_Cel),HP_Room_thermo_1_IN1 (Deg_Cel),HP_Room_thermo_2_IN6 (Deg_Cel),HP_Flow_SW1_IN2 (Deg_Cel),HP_Flow_SW2_IN3 (Deg_Cel),HP_Flow_SW3_IN7 (Deg_Cel),HP_Demand_IN4 (Deg_Cel),HP_Outdoor_thermo_IN5 (Deg_Cel),HP_Flow_rate (L/min),Total_Electricity (kWh),Outdoor_HP_Unit (kWh),Indoor_HP_Unit (kWh),Shower (kWh),Immersion (kWh),Out_Solar (kw_per_m2),Out_Solar (kj_per_m2),Out_WindSpeed (m/s),Out_WindDirection (Deg),Out_Gust_3s (m/s),Out_Pressure (mBar),Out_TotalSolar (W_per_m2),Out_DiffuseSolar (W_per_m2),Out_TotalSolar.Wm2,Out_DiffuseSolar.W/m2
539.6363636363636,59.45454545454545,452.09090909090907,0,19.918181818181814,0,0,0.0,0.0,0,0.0,0.0,0,19.0,-39,23.875,14.85,20.5,21.6,49.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.1316999999999999,0.010775,2.5e-05,12.72,99.9,0.156,6.825258,7.457,277.2,14.17,1007,1134.0,1095.0
523.0,59.0,544.5454545454545,0,20.2,0,0,0.0,0.0,0,0.0,0.0,0,19.0,-39,23.5,14.1,20.5,21.20833333333333,48.84166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.04575,0.0109,5e-05,13.43,99.9,0.448,26.66728,6.793,279.0,10.83,1010,1257.0,1248.0
497.09090909090907,58.18181818181818,533.8181818181819,2,20.61818181818182,0,0,0.0,0.0,0,0.0,0.0,0,19.45,-39,23.15,14.416666666666666,20.5,21.0,48.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.3385249999999999,0.010775,7.500000000000001e-05,14.03,99.7,0.222,14.27763,3.812,274.2,5.418,1012,1257.0,1249.0
482.7272727272728,58.0,230.63636363636363,0,20.527272727272727,0,0,0.0,0.0,0,0.0,0.0,0,19.5,-39,23.0,14.333333333333334,20.5,21.0,48.4,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.22235,0.010775,0.0,14.0,97.5,0.431,25.45834,4.457,275.2,5.832,1012,1257.0,1248.0
489.8,58.7,22.7,7,19.84,0,0,0.0,0.0,0,0.0,0.0,0,18.95,-39,23.0,14.0,20.5,21.0,48.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.072525,0.01075,2.5e-05,13.79,74.7,0.309,18.65462,5.48,286.0,7.082,1014,1257.0,1248.0
849.6363636363636,62.0,8.272727272727273,16,19.42727272727273,0,0,0.0,0.0,0,0.0,0.0,0,18.575,-39,22.808333333333334,13.566666666666666,20.491666666666667,20.866666666666667,47.00833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.234825,0.010875,5e-05,13.15,77.5,0.05,2.986119,3.043,277.8,4.168,1015,390.2,375.0
750.0,63.0,12.0,10,19.0375,0,0,0.0,0.0,0,0.0,0.0,0,18.5,-39,22.316666666666663,12.933333333333334,20.5,20.5,44.95,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.348125,0.011025,2.5e-05,12.58,81.9,0.02,1.194503,1.458,288.8,2.082,1016,133.6,128.8
1255.0,63.54545454545455,2.8181818181818183,15,19.39090909090909,0,0,0.0,0.0,0,0.0,0.0,0,18.025,-39,21.666666666666668,12.083333333333334,20.5,20.5,44.43333333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2542,0.01115,0.0,11.77,99.9,0.0,0.0,0.083,25.88,0.417,1017,2.537,1.1
1787.25,64.125,1.875,16,19.6375,0,0,0.0,0.0,0,0.0,0.0,0,18.0,-39,21.40833333333333,12.0,20.5,20.5,44.00833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.190325,0.01105,5e-05,11.0,99.9,0.0,0.0,0.042,250.8,0.417,1018,2.03,1.015
1820.75,63.66666666666666,1.0,11,19.90833333333333,0,0,0.0,0.0,0,0.0,0.0,0,18.0,-39,21.0,11.4,20.225,20.5,43.91666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.24585,0.010725,2.5e-05,9.95,99.9,0.0,0.0,0.208,13.14,0.417,1019,2.03,1.015
1256.090909090909,61.72727272727273,0.0,3,19.61818181818182,0,0,0.0,0.0,0,0.0,0.0,0,17.775,-39,20.6,10.316666666666666,20.0,20.041666666666668,43.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2744499999999999,0.0109,5e-05,9.88,99.9,0.0,0.0,0.479,155.2,0.833,1019,2.031,1.015
1105.4166666666667,61.083333333333336,0.25,1,19.48333333333333,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,20.5,10.016666666666667,20.0,19.866666666666667,43.25,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.347925,0.0108,0.0,9.69,99.9,0.0,0.0,0.563,140.2,0.833,1020,2.031,1.015
1009.4,60.0,0.6,1,19.32,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,20.5,10.0,20.0,19.5,42.99166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.20705,0.0109749999999999,5e-05,8.87,99.8,0.0,0.0,1.354,147.2,1.667,1021,2.031,1.015
1032.75,60.083333333333336,0.0,1,19.116666666666667,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,20.5,10.0,20.0,19.5,42.59166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.225425,0.0110499999999999,7.500000000000001e-05,9.11,99.8,0.0,0.0,0.208,148.4,0.833,1021,2.2,1.015
1017.8333333333334,60.0,0.0,1,19.166666666666668,0,0,0.0,0.0,0,0.0,0.0,0,17.5,-39,20.5,10.0,20.025,19.5,42.333333333333336,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.296,0.011,5e-05,8.6,99.8,0.0,0.0,0.458,126.2,1.667,1021,2.031,1.015
867.2727272727273,58.45454545454545,0.0,1,18.87272727272727,0,0,0.0,0.0,0,0.0,0.0,0,17.025,-39,20.5,9.65,20.008333333333333,19.5,42.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.180975,0.01105,0.0,10.13,99.8,0.0,0.0,1.854,105.8,2.918,1021,2.031,1.015
873.1666666666666,58.583333333333336,0.0,2,18.758333333333333,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,20.466666666666665,9.0,20.0,19.5,41.55833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.1906749999999999,0.0109,5e-05,7.926,99.8,0.0,0.0,0.708,56.38,1.25,1021,1.946,1.015
846.0,58.6,0.0,5,18.64,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,20.183333333333334,9.0,19.966666666666665,19.5,41.30833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.23875,0.010875,5e-05,6.844,99.8,0.0,0.0,0.813,9.51,1.25,1021,1.862,1.015
904.2,59.5,16.2,14,18.47,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,20.0,9.0,19.508333333333333,19.5,40.016666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.5849249999999999,0.01085,5e-05,8.33,99.8,0.0,0.0,2.521,119.7,3.332,1021,2.031,1.015
738.0,61.75,6.833333333333333,1,17.908333333333335,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,19.7,9.416666666666666,19.5,19.10833333333333,35.675,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2508249999999999,0.010875,2.5e-05,8.16,99.8,0.0,0.0,2.479,113.9,3.75,1022,2.031,1.015
600.7272727272727,61.36363636363637,31.63636363636364,2,17.61818181818182,0,4,66.66666666666666,0.0666666666666666,37,616.6666666666666,0.6166666666666666,0,17.0,-39,20.525,10.483333333333333,20.791666666666668,19.916666666666668,32.875,25,25,25,25,25,25,0,0,0,0,0,0,0,4.616666666666666,1,0,1.06665,0.1997,2.5e-05,7.96,99.7,0.0,0.0,0.604,68.4,1.25,1022,11.59,10.32
572.7,61.9,173.6,0,17.630000000000003,1,85,1416.6666666666663,1.4166666666666667,250,4166.666666666666,4.166666666666666,0,17.025,-39,40.43333333333333,11.133333333333333,35.833333333333336,37.35,44.525,25,25,25,25,25,25,0,0,0,0,0,0,0,9.833333333333334,1,0,2.365175,1.5878,0.0,9.69,99.8,0.04,2.007799,3.832,112.5,5.0,1022,260.8,251.1
517.3333333333334,61.91666666666666,420.5833333333333,0,18.266666666666666,0,0,0.0,0.0,0,0.0,0.0,0,17.8,-39,24.9,13.166666666666666,20.758333333333333,21.825,49.325,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.91665,0.010675,0.0,10.59,99.8,0.056,3.676415,3.312,114.0,4.582,1023,475.5,458.0
492.3636363636364,60.81818181818182,499.54545454545456,0,19.318181818181817,0,0,0.0,0.0,0,0.0,0.0,0,18.40833333333333,-39,24.0125,14.116666666666667,20.5,21.5,49.0,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.2935,0.010475,0.0,12.38,99.8,0.156,10.46849,2.854,134.4,5.0,1023,1176.0,1136.0
480.3636363636364,60.0,455.54545454545456,0,19.545454545454547,0,0,0.0,0.0,0,0.0,0.0,0,18.8,-39,23.516666666666666,15.3,20.391666666666666,21.10833333333333,48.891666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.327025,0.01085,7.500000000000001e-05,13.02,99.8,0.401,24.0626,3.979,123.2,5.418,1023,1258.0,1248.0
470.0,60.0,152.41666666666666,0,19.541666666666668,0,0,0.0,0.0,0,0.0,0.0,0,18.825,-39,23.216666666666665,16.0,20.425,21.0,48.516666666666666,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.262925,0.010775,2.5e-05,13.12,99.8,0.209,14.7687,2.75,120.5,3.75,1022,1257.0,1248.0
483.6666666666667,60.833333333333336,412.4166666666667,0,19.23333333333333,0,0,0.0,0.0,0,0.0,0.0,0,18.5,-39,23.0,16.0,20.5,21.0,48.49166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.2858,0.01085,2.5e-05,15.42,99.9,0.511,25.79046,1.125,94.6,2.082,1022,1258.0,1249.0
484.7,61.0,122.4,0,19.17,0,0,0.0,0.0,0,0.0,0.0,0,18.475,-39,23.0,15.933333333333334,20.475,21.0,48.00833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.1568999999999999,0.0108,7.500000000000001e-05,15.94,99.9,0.109,6.567866,3.207,139.2,4.582,1021,720.0,694.5
463.8181818181818,61.0,24.63636363636364,0,18.69090909090909,0,0,0.0,0.0,0,0.0,0.0,0,18.025,-39,22.616666666666667,15.216666666666669,20.15,20.766666666666666,47.95,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.324475,0.0108,5e-05,16.28,99.9,0.295,16.67787,3.543,107.4,6.25,1021,1257.0,1248.0
551.1,62.3,8.1,17,18.4,0,0,0.0,0.0,0,0.0,0.0,0,18.0,-39,22.5,15.0,20.125,20.5,47.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.272475,0.010775,0.0,16.22,99.9,0.116,6.690646,4.168,132.4,6.668,1020,736.0,711.0
