Country,Local EPC Name,Translation,Issuing Authority / Website,Energy Rating Scale,Primary Energy Calculation Method,Climate Zoning,EPC Type (Asset/Operational),Inputs Used in EPC,Software Tools Used,Standard Layout Format,Visual Labeling (e.g. A-G),Renovation Recommendations,Trigger Events,EPC Validity Period,Penalties for Non-Compliance,Public Database Availability,API or Digital Access,Integration with SRI or Building Passport,Market Penetration (%),Public Awareness / Trust,Assessor Certification Requirements,Smart Readiness Integration,Data Interoperability (e.g. ORBIT-ready)
Austria,Energieausweis,Energy Certificate,Austrian Energy Agency (AEA) – https://www.energyagency.at,A++ to G or similar variant based on ÖNORM,ÖNORM B standards and OIB Richtlinie 6,"Yes, climate zoning via ÖNORM B 8110",Asset-based,"Envelope, systems, lighting, renewables",Tools based on OIB/ÖNORM calculations,"Yes, standard national format","Yes, visual A–G scale with energy info",Mandatory for existing buildings,"Sale, rent, new build, major renovation",10 years,Enforced through provincial regulations and fines,ZEUS (multi-provincial registry),Partially available through ZEUS,Planned alignment with LTRS and smart readiness,Moderate-high (in urban regions),Recognized in real estate and public policy,Assessor must be registered & licensed engineer/architect,In development,ZEUS data partially structured; evolving standard
Belgium,Certificat PEB / Energieprestatiecertificaat / Energiepass,Energy Performance Certificate,"Regional PEB registries (Flanders, Wallonia, Brussels)",A++ to G (primary energy in kWh/m²),Regional EPB methodologies aligned with EN standards,Yes – regional climate zones,Asset-based,"Envelope, HVAC, lighting, renewables",Regionally certified software (e.g. Cepe),Standard regional forms with label and details,A–G with kWh/m²/yr,Mandatory recommendations,"Sale, rent, renovation",10 years,"Fines (€500–€5,000 in Flanders)",Regional online registries,Some digital access (e.g. CSV download),Pilots in Wallonia & Brussels,High in urban areas,Good awareness across all regions,Regional accredited training and certification,Brussels pilot underway,Regions aligning registry schemas
Bulgaria,Сертификат за енергийни характеристики,Energy Passport,Bulgarian Sustainable Energy Development Agency (SEDA),A to G (energy class scale),National methodology rooted in EPBD and ISO,Single national zone,Asset-based,"Envelope, HVAC, lighting",Government approved national calculators,Standard form with technical and advisory info,"A–G, color-coded","Included, not mandatory","Sale, rent, public buildings over 250 m²",10 years,"Municipal enforcement, fines apply",Central registry managed by SEDA,Manual access only,Not integrated yet,Moderate,Limited outside professional sector,Licensed engineers and certified energy experts,Not implemented,Registry non-structured
Croatia,Energetski certifikat,Energy Certificate,Ministry of Physical Planning and Construction / HERA,A to G,National methodology aligned with EPBD,"Single zone, national assumptions",Asset-based,"Envelope, HVAC, DHW",Official Croatian EPC tools,Standard format with advisory section,A–G,Mandatory advice section,"New buildings, sales, rentals, renovations",10 years,Fines and registration enforcement,National EPC portal,"No full API, partial digital registry",Not implemented,Medium,Medium among citizens,Certified energy assessors,Not in place yet,Partially structured
Cyprus,Πιστοποιητικό Ενεργειακής Απόδοσης,Energy Performance Certificate,Department of Environment – https://bfu.meci.gov.cy,A to G,EN/ISO methodology adapted for Cyprus,Single Mediterranean climate zone,Asset-based,"Envelope, HVAC, ventilation, solar systems",SBEMcy government-issued software,Standard form with technical/advisory parts,A–G with energy and CO₂ values,Mandatory advisory section,"Construction, sale, rental, renovation",10 years,Fines enforced by municipalities,National online registry (manual access),None currently,Not integrated,Moderate,Professional trust moderate; public lower,Accredited via Department of Environment,Not included,Digital registry; no API
Czech Republic,Průkaz energetické náročnosti budovy (PENB),Energy Performance Certificate of the Building,Ministry of Industry & Trade,A to G,EN and Czech national standard (PENB),"Single zone, adjusted regionally",Asset-based,"Envelope, HVAC, DHW, lighting",PENB compliant tools,Standard national format,A–G,Required for all certificates,"Sale, rent, new buildings, major renovations",10 years,Penalties imposed for non-compliance,Public online database,Some regional API services,Part of smart renovation planning pilots,Medium to high,High trust among professionals,Certification via approved agencies,Planned,ORBIT-aligned pilots under EPBD recast
Denmark,Energimærkning,Energy Label,Danish Energy Agency – https://ens.dk,A to G,Primary energy based on national standards,"Yes, regional adjustment via climate data",Asset-based,"Envelope, HVAC, ventilation, lighting",Government software (Energimærkning tools),Standard layout with detailed recommendations,A–G with kWh/m²/year and CO₂,Mandatory,"Sale, rent, new build, public use",10 years,Fines for non-compliance,Central Danish registry,Yes – machine-readable data available,Under planning for future integration,High,High – integrated in real estate,Licensed and certified energy consultants,Pilots for smart readiness underway,"Structured, API-capable registry"
Estonia,Energiamärgis,Energy Label,EHR – State Construction Register (https://www.ehr.ee),A to G,EN/ISO aligned national methodology,Single climate zone (moderate),Asset-based,"Envelope, HVAC, lighting, renewables",EHR tools and regional apps,National form with summary and data,A–G scale with numerical indicators,Included and encouraged,"New buildings, sales, rentals",10 years,Government enforced penalties,Public registry available,Yes – e-service platform,Not yet,Moderate and growing,Trusted by professionals,Certified engineers and energy experts,In consideration,Digital registry with partial interoperability
Finland,Energiatodistus,Energy Certificate,Motiva / Ministry of Environment – https://www.motiva.fi,A to G with kWh/m²/year,National methodology aligned with EN standards,Cold climate zones integrated,Asset-based,"Envelope, HVAC, lighting, DHW",Motiva-provided EPC software,Certificate + guidance & improvement section,A–G visual label with energy index,Mandatory,"Sale, rent, construction",10 years,Fines under Finnish building regulations,Central open registry,Public portal (Motiva) offers data access,Pilots ongoing under EPBD recast,High,High public awareness and trust,Licensed & trained auditors via government,Yes – included in roadmap,"Structured, exportable formats"
France,Diagnostic de performance énergétique (DPE),Energy Performance Diagnostic,ADEME / Ministry of Ecological Transition – https://www.ademe.fr,A to G,DPE method based on EN and national metrics,Zoned (8 French climatic zones),Asset-based,"Envelope, HVAC, lighting, DHW",National DPE software,Two-page layout + advisory report,A–G with CO₂ and energy figures,Mandatory and updated regularly,"Sale, rent, public use",10 years,"€1,500+ fines",DPE national registry,Web portal with downloadable reports,Linked to Renovation Passport strategy,Very high,High (used in property transactions),Certified by ADEME-accredited bodies,Planned integration,Highly structured and interoperable
