building_id,meta_run_id,meta_dataset_title,meta_random_seed,meta_reference_weather_file,meta_generator_engine,bldg_floor_area_m2,bldg_construction_year,bldg_dwelling_form,bldg_num_floors,bldg_wall_u_value,bldg_roof_u_value,bldg_window_u_value,bldg_airtightness_ach,bldg_epc_rating_band,sys_main_heating_type,sys_main_heating_efficiency,sys_heat_pump_present,sys_pv_present,sys_pv_capacity_kw,sys_battery_present,sys_ev_present,sys_secondary_heating_present,occ_num_occupants,occ_num_children,occ_work_from_home_days_per_week,occ_daytime_occupancy_level,occ_hot_water_usage_intensity,occ_appliance_usage_intensity,occ_comfort_preference_score,ann_total_energy_kwh_per_m2,ann_heating_kwh_per_m2,ann_hot_water_kwh_per_occupant,ann_operational_emissions_kgco2_per_m2,ann_energy_performance_gap_percent,ann_peak_import_kw,ts_load_factor,ts_base_load_kw_mean,ts_evening_peak_kw_mean,ts_weekend_weekday_load_ratio,ts_winter_summer_load_ratio,ts_heating_hours_per_year,ts_mean_heating_setpoint_c,ts_grid_export_frequency,ts_actual_to_predicted_energy_ratio,ts_occupancy_variability_index,ts_load_std,ts_peak_variability,ts_heating_variability,occ_00_03,load_00_03,heat_00_03,occ_03_06,load_03_06,heat_03_06,occ_06_09,load_06_09,heat_06_09,occ_09_12,load_09_12,heat_09_12,occ_12_15,load_12_15,heat_12_15,occ_15_18,load_15_18,heat_15_18,occ_18_21,load_18_21,heat_18_21,occ_21_24,load_21_24,heat_21_24,interaction_occ_load_correlation,interaction_temp_heating_sensitivity,interaction_pv_self_consumption_ratio,interaction_ev_load_overlap,interaction_heatpump_load_dependency,interaction_occupancy_heating_alignment,interaction_peak_coincidence_index,event_morning_peak_time,event_evening_peak_time,event_peak_duration_hours,event_heating_start_hour,event_heating_end_hour,event_ev_charging_start_hour,event_ev_charging_end_hour,event_peak_day_of_week,resp_load_shift_potential,resp_peak_reduction_capability,resp_battery_utilisation_rate,resp_demand_response_index,resp_flexibility_factor,resp_self_consumption_ratio,resp_grid_dependency_index,val_building_archetype_seed,val_fabric_archetype_seed,val_system_archetype_seed,val_occupant_archetype_seed
C3LGTAWGBN,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,105.74,1989,house,3,0.333,0.223,1.637,5.26,C,storage_heaters,0.992,0,0,0,0,0,1,4,2,3,0.5,1.061,1.005,2.62,158.302345,58.357575,12.035,28.85199546,10.48,5.8,0.206958,1.030247,0.976406,1.426428,4.732862,2644,19.04,0,1.104854,0.525246,1.327778,1.327778,1.263597,0.539726,0.919386,0.507793,0.515982,1.141108,0.736302,0.852055,1.595956,0.996318,1,1.567713,1.010815,1,1.418223,0.861387,1,1.240335,0.682936,0.842009,0.982295,0.507186,0.520548,0.742306,0.332628,0.727661,4.291128,,,,0.629643,0.983209,6,18,0,6,12,,,5,0.793042,,,0.793042,0.793042,,,semi_detached_1981_1990,fabric_C_medium,storage_heaters_pv0,typical_cost_aware
IMGEKIOURO,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,110.53,1957,house,3,0.274,0.284,1.934,6.2,C,gas_boiler,0.915,0,0,0,0,0,1,1,0,1,0.39,0.737,0.723,4.91,101.381887,81.849362,22.53,26.91848367,-54.14,0.35,0.700006,0.244499,0.251221,1.213851,0.997447,3215,20.06,0,0.458566,0.703336,0.056703,0.056703,1.692679,0.527854,0.244874,1.054793,0.519635,0.244124,1.385161,0.53242,0.237073,0.939926,0.711416,0.232598,1.07561,0.691324,0.230748,0.914207,0.683105,0.230644,0.68237,0.837443,0.242266,0.952742,0.849315,0.28873,1.25712,0.428629,0.952799,,,,-0.108168,0.986195,11,22,2,11,12,,,6,0.299994,,,0.299994,0.299994,,,terraced_1946_1960,fabric_C_medium,gas_boiler_pv0,comfort_seeking
KYAP79ALIQ,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,175.62,1982,house,2,0.349,0.262,1.867,6.41,C,oil_boiler,0.93,0,0,0,0,0,0,2,0,1,0.41,0.818,0.966,2.84,74.546692,59.774001,10.01,19.57032229,-63.96,0.49,0.597917,0.293706,0.310194,1.526774,0.998177,3045,17.54,0,0.360397,0.771437,0.102064,0.102064,2.127412,0.5379,0.293739,1.363003,0.525114,0.293672,1.638081,0.688584,0.332331,1.491801,0.533333,0.24868,0.951063,0.506849,0.246778,0.729935,0.841096,0.30802,0.964092,0.686758,0.278708,1.10978,0.69589,0.349083,1.339013,0.601646,0.833715,,,,-0.029888,0.990134,6,22,2,6,15,,,6,0.402083,,,0.402083,0.402083,,,semi_detached_1981_1990,fabric_C_medium,oil_boiler_pv0,frugal_underheating
6IUBDPJWAN,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,138,1945,house,2,0.488,0.272,2.664,6.62,D,electric_resistance,0.965,0,0,0,0,0,1,1,0,2,0.43,0.853,0.886,3.71,316.386739,158.260435,22.08,52.43847826,12.68,10.52,0.236647,2.44631,2.585783,1.357597,13.442381,4805,19.45,0,1.126757,0.452559,2.818177,2.818177,3.284368,0.554338,2.228341,2.083147,0.558904,2.664279,2.729797,0.526941,1.93544,1.918655,1,2.896275,3.120861,1,2.362061,2.493233,1,1.875767,1.834523,1,2.734817,2.728644,1,3.211096,3.03629,0.38863,12.450205,,,,0.428223,0.969291,9,22,0,9,12,,,5,0.763353,,,0.763353,0.763353,,,semi_detached_1919_1945,fabric_D_moderate_low,electric_resistance_pv0,retired_home_daytime
FUH2LNCVZI,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,145.91,1990,house,2,0.188,0.134,0.806,1.17,A,storage_heaters,0.993,0,0,0,0,0,0,2,0,2,0.43,0.893,1.012,3.07,69.178603,24.594339,12.24,12.88074841,-15.9,4.28,0.173,0.685961,0.691008,1.713127,4.190553,1999,18.79,0,0.84096,0.728693,0.892026,0.892026,0.851314,0.540639,0.654243,0.324689,0.545205,0.71768,0.390387,0.699543,0.928756,0.574481,0.528767,0.681673,0.40322,0.687671,0.804903,0.488815,1,0.920762,0.530345,0.702283,0.63926,0.322801,0.521461,0.571271,0.242483,0.736496,3.749547,,,,0.637993,0.988273,8,20,0,12,12,,,5,0.827,,,0.827,0.827,,,detached_1981_1990,fabric_A_very_high,storage_heaters_pv0,typical_cost_aware
4MLZF6MOOX,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,147.25,1978,house,2,0.549,0.293,2.987,7.51,D,electric_resistance,0.972,0,0,0,0,0,0,2,0,2,0.54,0.821,0.872,3.58,297.324075,139.102071,14.09,45.82886248,2.86,12.06,0.220301,2.660806,2.736874,1.707232,10.223468,4504,19.99,0,1.028624,0.615035,3.118508,3.118508,3.064243,0.519635,2.416725,2.129577,0.519635,2.904888,2.621717,0.693151,3.004072,2.691125,0.852055,3.045705,2.723269,0.677626,1.983567,1.699812,1,2.339405,1.981557,0.69863,2.341793,2.057613,0.843836,3.215007,2.801062,0.109059,9.731768,,,,0.034604,0.969686,8,22,0,8,14,,,5,0.779699,,,0.779699,0.779699,,,semi_detached_1971_1980,fabric_D_moderate_low,electric_resistance_pv0,retired_home_daytime
0RBHHEWULJ,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,133.48,1947,house,3,0.718,0.457,3.354,10.74,E,gas_boiler,0.889,0,0,0,0,0,0,5,3,0,0.26,1.171,1.193,4.34,229.310833,186.278843,10.998,62.42350914,-14.43,1.22,0.530182,0.552982,0.748032,1.822733,0.991001,4536,20.07,0,0.855745,0.609748,0.341335,0.341335,3.556927,0.533333,0.552109,2.5143,0.538813,0.553855,3.232837,0.541553,0.507843,2.704826,0.684018,0.532028,2.702706,1,0.771547,3.174357,0.840183,0.651838,2.080876,0.841096,0.652136,2.964894,0.852968,0.974003,3.332502,0.724554,0.947114,,,,0.192277,0.986356,11,21,2,11,12,,,5,0.469818,,,0.469818,0.469818,,,detached_1946_1960,fabric_E_low,gas_boiler_pv0,typical_cost_aware
4VL7OGAU7B,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,124.89,2015,house,2,0.137,0.136,1.091,2.27,A,solid_fuel_boiler,0.886,0,0,0,0,1,0,1,0,0,0.38,0.882,0.937,4.11,43.518777,23.88582,23.1,12.08751701,-53.55,0.67,0.416917,0.271424,0.292272,1.19869,1.001994,2314,19.32,0,0.464503,0.578789,0.067003,0.067003,0.644015,0.533333,0.271787,0.233988,0.536073,0.271061,0.279353,0.694977,0.285607,0.406015,0.848402,0.268525,0.493586,0.829224,0.268588,0.39671,1,0.294153,0.39009,0.70411,0.257932,0.238987,0.846575,0.31902,0.285567,0.435901,0.921834,,0.04772,,0.596112,0.983517,7,22,0,11,13,15,19,6,0.583083,,,0.583083,0.583083,,,detached_2015_2019,fabric_A_very_high,solid_fuel_boiler_pv0,retired_home_daytime
WFYW38V6CS,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,124.88,2011,house,2,0.243,0.183,1.47,2.58,B,oil_boiler,0.917,0,1,5.11,0,0,0,2,0,1,0.4,0.867,0.979,4.17,84.577675,55.934257,14.62,20.71692825,-48.24,0.6,0.510469,0.352778,0.374885,1.31796,1.203906,3034,19.45,0.226826,0.517583,0.454571,0.109488,0.202466,1.323737,0.536073,0.352525,0.659501,0.534247,0.353031,0.934584,0.559817,0.337379,0.692798,1,0.410197,1.106224,1,0.410734,0.932182,1,0.411115,0.735914,1,0.410894,0.640251,1,0.554078,0.6776,0.695596,1.115046,,,,0.162701,0.982314,6,21,3,9,12,,,5,0.489531,,,0.489531,0.489531,,0,terraced_2011_2014,fabric_B_high,oil_boiler_pv1,retired_home_daytime
T0KQH9H5YU,J14UBVXY4Z,"Ireland connected stock 2024_v3",42,IE_weather_cork_2024.csv,native_php,140.73,1995,house,2,0.289,0.239,1.699,6.03,C,storage_heaters,0.96,0,0,0,0,0,0,2,0,0,0.36,0.838,1.042,2.99,91.786257,36.280892,10.315,16.05407518,-43.69,5.52,0.161081,1.005263,0.800063,1.828079,6.045295,2212,17.54,0,0.563081,0.773886,1.240987,1.240987,1.196697,0.553425,0.91307,0.610575,0.523288,1.097457,0.79999,0.680365,1.190831,0.84574,0.513242,0.764991,0.510643,0.528767,0.707572,0.449594,0.847489,0.899779,0.572821,0.524201,0.575016,0.321803,0.832877,0.966031,0.551675,0.370129,5.049261,,,,0.167449,0.97251,6,22,0,6,15,,,5,0.838919,,,0.838919,0.838919,,,terraced_1991_2000,fabric_C_medium,storage_heaters_pv0,frugal_underheating
