building_id,building_type,dwelling_form,construction_period,construction_year,floor_area_m2,num_floors,num_bedrooms,region,urban_rural_class,tenure,retrofit_status,retrofit_depth,retrofit_year,building_archetype,fabric_archetype,system_archetype,occupant_archetype,ber_rating,epc_band,epc_score_kwh_m2_yr,co2_rating_kgco2_m2_yr,energy_label_numeric_rank,wall_type,wall_u_value,roof_type,roof_u_value,floor_u_value,window_type,window_u_value,glazing_ratio,airtightness_ach,infiltration_level,insulation_level,thermal_mass_class
C3LGTAWGBN,semi_detached,house,1981_1990,1989,105.74,3,4,West,urban,local_authority_rent,none,none,,semi_detached_1981_1990,fabric_C_medium,storage_heaters_pv0,typical_cost_aware,C,C,133.05,26.43,4,cavity_insulated,0.333,insulated_attic,0.223,0.423,double_glazed,1.637,0.228,5.26,medium,medium,heavy
IMGEKIOURO,terraced,house,1946_1960,1957,110.53,3,2,Mid_West,urban,owner_outright,retrofitted,moderate,1992,terraced_1946_1960,fabric_C_medium,gas_boiler_pv0,comfort_seeking,C,C,117.01,27.09,4,cavity_insulated,0.274,insulated_attic,0.284,0.516,double_glazed,1.934,0.242,6.2,medium,medium,heavy
KYAP79ALIQ,semi_detached,house,1981_1990,1982,175.62,2,1,Midlands,urban,owner_outright,none,none,,semi_detached_1981_1990,fabric_C_medium,oil_boiler_pv0,frugal_underheating,C,C,113.65,27.23,4,cavity_insulated,0.349,insulated_attic,0.262,0.578,double_glazed,1.867,0.207,6.41,medium,medium,medium
6IUBDPJWAN,semi_detached,house,1919_1945,1945,138,2,2,Dublin,rural,owner_outright,none,none,,semi_detached_1919_1945,fabric_D_moderate_low,electric_resistance_pv0,retired_home_daytime,D,D,166.37,39.32,3,uninsulated_solid,0.488,insulated_attic,0.272,0.644,double_glazed,2.664,0.209,6.62,medium,moderate_low,medium
FUH2LNCVZI,detached,house,1981_1990,1990,145.91,2,4,Mid_East,rural,owner_outright,retrofitted,moderate,2024,detached_1981_1990,fabric_A_very_high,storage_heaters_pv0,typical_cost_aware,A,A,61.36,15.27,6,cavity_insulated,0.188,insulated_attic,0.134,0.26,triple_glazed,0.806,0.241,1.17,low,very_high,medium
4MLZF6MOOX,semi_detached,house,1971_1980,1978,147.25,2,3,Dublin,urban,private_rent,none,none,,semi_detached_1971_1980,fabric_D_moderate_low,electric_resistance_pv0,retired_home_daytime,D,D,171.37,44.23,3,uninsulated_solid,0.549,insulated_attic,0.293,0.686,double_glazed,2.987,0.181,7.51,medium,moderate_low,medium
0RBHHEWULJ,detached,house,1946_1960,1947,133.48,3,3,Dublin,rural,owner_mortgage,none,none,,detached_1946_1960,fabric_E_low,gas_boiler_pv0,typical_cost_aware,E,E,224.08,53.75,2,uninsulated_solid,0.718,minimal_loft,0.457,0.821,single_or_old_double,3.354,0.2,10.74,medium,low,heavy
4VL7OGAU7B,detached,house,2015_2019,2015,124.89,2,3,South_East,urban,private_rent,none,none,,detached_2015_2019,fabric_A_very_high,solid_fuel_boiler_pv0,retired_home_daytime,A,A,58.54,7.77,6,cavity_insulated,0.137,insulated_attic,0.136,0.139,triple_glazed,1.091,0.156,2.27,low,very_high,heavy
WFYW38V6CS,terraced,house,2011_2014,2011,124.88,2,2,Border,rural,owner_mortgage,none,none,,terraced_2011_2014,fabric_B_high,oil_boiler_pv1,retired_home_daytime,B,B,92.46,20.71,5,cavity_insulated,0.243,insulated_attic,0.183,0.168,triple_glazed,1.47,0.244,2.58,low,high,light
T0KQH9H5YU,terraced,house,1991_2000,1995,140.73,2,4,Mid_West,urban,owner_outright,none,none,,terraced_1991_2000,fabric_C_medium,storage_heaters_pv0,frugal_underheating,C,C,110.94,32.3,4,cavity_insulated,0.289,insulated_attic,0.239,0.527,double_glazed,1.699,0.156,6.03,medium,medium,heavy
