field_name,table_name,data_type,description,unit,allowed_values_or_range,generation_logic_summary
timestamp,weather,string,"weather — timestamp",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
date,weather,string,"weather — date",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
day_of_year,weather,string,"weather — day_of_year",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
hour_of_day,weather,string,"weather — hour_of_day",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
month,weather,string,"weather — month",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
season,weather,string,"weather — season",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
outdoor_temperature_c,weather,string,"weather — outdoor_temperature_c",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
solar_irradiance_w_m2,weather,string,"weather — solar_irradiance_w_m2",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
wind_speed_m_s,weather,string,"weather — wind_speed_m_s",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
relative_humidity_percent,weather,string,"weather — relative_humidity_percent",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
cloud_factor,weather,string,"weather — cloud_factor",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
heating_degree_signal,weather,string,"weather — heating_degree_signal",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
pv_generation_factor,weather,string,"weather — pv_generation_factor",,"8760 rows","PREDICT native PHP generator (Ireland priors)"
building_id,buildings,string,"buildings — building_id",,"10 rows","PREDICT native PHP generator (Ireland priors)"
building_type,buildings,string,"buildings — building_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
dwelling_form,buildings,string,"buildings — dwelling_form",,"10 rows","PREDICT native PHP generator (Ireland priors)"
construction_period,buildings,string,"buildings — construction_period",,"10 rows","PREDICT native PHP generator (Ireland priors)"
construction_year,buildings,string,"buildings — construction_year",,"10 rows","PREDICT native PHP generator (Ireland priors)"
floor_area_m2,buildings,string,"buildings — floor_area_m2",,"10 rows","PREDICT native PHP generator (Ireland priors)"
num_floors,buildings,string,"buildings — num_floors",,"10 rows","PREDICT native PHP generator (Ireland priors)"
num_bedrooms,buildings,string,"buildings — num_bedrooms",,"10 rows","PREDICT native PHP generator (Ireland priors)"
region,buildings,string,"buildings — region",,"10 rows","PREDICT native PHP generator (Ireland priors)"
urban_rural_class,buildings,string,"buildings — urban_rural_class",,"10 rows","PREDICT native PHP generator (Ireland priors)"
tenure,buildings,string,"buildings — tenure",,"10 rows","PREDICT native PHP generator (Ireland priors)"
retrofit_status,buildings,string,"buildings — retrofit_status",,"10 rows","PREDICT native PHP generator (Ireland priors)"
retrofit_depth,buildings,string,"buildings — retrofit_depth",,"10 rows","PREDICT native PHP generator (Ireland priors)"
retrofit_year,buildings,string,"buildings — retrofit_year",,"10 rows","PREDICT native PHP generator (Ireland priors)"
building_archetype,buildings,string,"buildings — building_archetype",,"10 rows","PREDICT native PHP generator (Ireland priors)"
fabric_archetype,buildings,string,"buildings — fabric_archetype",,"10 rows","PREDICT native PHP generator (Ireland priors)"
system_archetype,buildings,string,"buildings — system_archetype",,"10 rows","PREDICT native PHP generator (Ireland priors)"
occupant_archetype,buildings,string,"buildings — occupant_archetype",,"10 rows","PREDICT native PHP generator (Ireland priors)"
ber_rating,buildings,string,"buildings — ber_rating",,"10 rows","PREDICT native PHP generator (Ireland priors)"
epc_band,buildings,string,"buildings — epc_band",,"10 rows","PREDICT native PHP generator (Ireland priors)"
epc_score_kwh_m2_yr,buildings,string,"buildings — epc_score_kwh_m2_yr",,"10 rows","PREDICT native PHP generator (Ireland priors)"
co2_rating_kgco2_m2_yr,buildings,string,"buildings — co2_rating_kgco2_m2_yr",,"10 rows","PREDICT native PHP generator (Ireland priors)"
energy_label_numeric_rank,buildings,string,"buildings — energy_label_numeric_rank",,"10 rows","PREDICT native PHP generator (Ireland priors)"
wall_type,buildings,string,"buildings — wall_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
wall_u_value,buildings,string,"buildings — wall_u_value",,"10 rows","PREDICT native PHP generator (Ireland priors)"
roof_type,buildings,string,"buildings — roof_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
roof_u_value,buildings,string,"buildings — roof_u_value",,"10 rows","PREDICT native PHP generator (Ireland priors)"
floor_u_value,buildings,string,"buildings — floor_u_value",,"10 rows","PREDICT native PHP generator (Ireland priors)"
window_type,buildings,string,"buildings — window_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
window_u_value,buildings,string,"buildings — window_u_value",,"10 rows","PREDICT native PHP generator (Ireland priors)"
glazing_ratio,buildings,string,"buildings — glazing_ratio",,"10 rows","PREDICT native PHP generator (Ireland priors)"
airtightness_ach,buildings,string,"buildings — airtightness_ach",,"10 rows","PREDICT native PHP generator (Ireland priors)"
infiltration_level,buildings,string,"buildings — infiltration_level",,"10 rows","PREDICT native PHP generator (Ireland priors)"
insulation_level,buildings,string,"buildings — insulation_level",,"10 rows","PREDICT native PHP generator (Ireland priors)"
thermal_mass_class,buildings,string,"buildings — thermal_mass_class",,"10 rows","PREDICT native PHP generator (Ireland priors)"
building_id,occupants,string,"occupants — building_id",,"10 rows","PREDICT native PHP generator (Ireland priors)"
household_type,occupants,string,"occupants — household_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
num_occupants,occupants,string,"occupants — num_occupants",,"10 rows","PREDICT native PHP generator (Ireland priors)"
num_adults,occupants,string,"occupants — num_adults",,"10 rows","PREDICT native PHP generator (Ireland priors)"
