timestamp,date,day_of_year,hour_of_day,month,season,outdoor_temperature_c,solar_irradiance_w_m2,wind_speed_m_s,relative_humidity_percent,cloud_factor,heating_degree_signal,pv_generation_factor
"2024-01-01 00:00:00",2024-01-01,1,0,1,winter,0.379,0,2.394,88.81,0.6312,17.621,0
"2024-01-01 01:00:00",2024-01-01,1,1,1,winter,4.271,0,2.392,92.52,0.6151,13.729,0
"2024-01-01 02:00:00",2024-01-01,1,2,1,winter,2.077,0,2.44,78.81,0.9402,15.923,0
"2024-01-01 03:00:00",2024-01-01,1,3,1,winter,2.048,0,2.772,90.13,0.7243,15.952,0
"2024-01-01 04:00:00",2024-01-01,1,4,1,winter,-0.137,0,4.785,85.24,0.6672,18.137,0
"2024-01-01 05:00:00",2024-01-01,1,5,1,winter,2.639,0,3.806,90.28,0.9627,15.361,0
"2024-01-01 06:00:00",2024-01-01,1,6,1,winter,-1.773,0,4.749,79.72,0.864,19.773,0
"2024-01-01 07:00:00",2024-01-01,1,7,1,winter,-0.799,0,3.011,99,0.829,18.799,0
"2024-01-01 08:00:00",2024-01-01,1,8,1,winter,-0.59,0,3.346,90.1,0.5853,18.59,0
"2024-01-01 09:00:00",2024-01-01,1,9,1,winter,1.584,0,2.483,79.9,0.6006,16.416,0
"2024-01-01 10:00:00",2024-01-01,1,10,1,winter,-1.139,0,4.877,98.53,0.6653,19.139,0
"2024-01-01 11:00:00",2024-01-01,1,11,1,winter,2.24,0,1.766,81.23,0.98,15.76,0
"2024-01-01 12:00:00",2024-01-01,1,12,1,winter,1.259,0,2.707,82.27,0.9244,16.741,0
"2024-01-01 13:00:00",2024-01-01,1,13,1,winter,1.693,0,2.09,94.95,0.7167,16.307,0
"2024-01-01 14:00:00",2024-01-01,1,14,1,winter,0.932,0,3.058,87.92,0.6295,17.068,0
"2024-01-01 15:00:00",2024-01-01,1,15,1,winter,4.019,0,1.607,75.92,0.9706,13.981,0
"2024-01-01 16:00:00",2024-01-01,1,16,1,winter,5.082,0,4.256,80.89,0.9467,12.918,0
"2024-01-01 17:00:00",2024-01-01,1,17,1,winter,4.621,0,1.684,76.24,0.6514,13.379,0
"2024-01-01 18:00:00",2024-01-01,1,18,1,winter,4.425,0,3.703,84.08,0.539,13.575,0
"2024-01-01 19:00:00",2024-01-01,1,19,1,winter,3.672,0,1.32,81.41,0.6497,14.328,0
"2024-01-01 20:00:00",2024-01-01,1,20,1,winter,3.136,0,4.811,84,0.7224,14.864,0
"2024-01-01 21:00:00",2024-01-01,1,21,1,winter,4.272,0,5.153,81.08,0.5864,13.728,0
"2024-01-01 22:00:00",2024-01-01,1,22,1,winter,4.125,0,3.385,76.78,0.6731,13.875,0
"2024-01-01 23:00:00",2024-01-01,1,23,1,winter,5.999,0,2.49,82.47,0.8643,12.001,0
"2024-01-02 00:00:00",2024-01-02,2,0,1,winter,5.548,0,4.336,69.97,0.4022,12.452,0
"2024-01-02 01:00:00",2024-01-02,2,1,1,winter,3.88,0,2.503,89.28,0.7675,14.12,0
"2024-01-02 02:00:00",2024-01-02,2,2,1,winter,3.575,0,0.593,99,0.4076,14.425,0
"2024-01-02 03:00:00",2024-01-02,2,3,1,winter,2.236,0,3.793,99,0.6005,15.764,0
